name,city,source,link,min_salary,max_salary,currency
Дворник,Москва,HH.RU,https://hh.ru/vacancy/42536445?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,35000.0,,руб.
Дворник,Селятино,HH.RU,https://hh.ru/vacancy/41640769?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,35000.0,35000.0,руб.
Уборщик производственных и служебных помещений,Красноярск,HH.RU,https://hh.ru/vacancy/42790568?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,17000.0,17000.0,руб.
Вечерний Уборщик служебных помещений,Минск,HH.RU,https://hh.ru/vacancy/42428712?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,500.0,,руб.
Дворник,Мытищи,HH.RU,https://hh.ru/vacancy/38622975?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,28000.0,28000.0,руб.
Дворник,Екатеринбург,HH.RU,https://hh.ru/vacancy/42834064?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,28000.0,,руб.
Уборщик производственных помещений,Москва,HH.RU,https://hh.ru/vacancy/41484837?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,35000.0,,руб.
Дворник (участки),Москва,HH.RU,https://hh.ru/vacancy/39826658?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,40000.0,50000.0,руб.
Дворник,Москва,HH.RU,https://hh.ru/vacancy/39630938?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,25000.0,,руб.
Дворник (участок 1),Москва,HH.RU,https://hh.ru/vacancy/38664879?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,40000.0,50000.0,руб.
Дворник/Техник,Москва,HH.RU,https://hh.ru/vacancy/40157488?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,45000.0,,руб.
Уборщик производственных и служебных помещений,Тольятти,HH.RU,https://hh.ru/vacancy/42822985?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,30000.0,30000.0,руб.
Дворник,Тутаев,HH.RU,https://hh.ru/vacancy/41014788?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,12130.0,,руб.
Уборщица/уборщик производственных и служебных помещений,Белгород,HH.RU,https://hh.ru/vacancy/42866328?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,33000.0,,руб.
Уборщик производственных и служебных помещений,Санкт-Петербург,HH.RU,https://hh.ru/vacancy/42866290?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,30000.0,35000.0,руб.
